"12f6 -- 8. Asukkaiden pääasiallinen toiminta, 2010-2022"

"Postinumeroalue";"Tiedot";"2022"
"00210  Vattuniemi (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1376
"00210  Vattuniemi (Helsinki)";"Opiskelijat (PT)";430
"00210  Vattuniemi (Helsinki)";"Eläkeläiset (PT)";2033
"00210  Vattuniemi (Helsinki)";"Muut (PT)";294
"00220  Jätkäsaari (Helsinki)";"Asukkaat yhteensä (PT)";10412
"00220  Jätkäsaari (Helsinki)";"Työlliset (PT)";5998
"00220  Jätkäsaari (Helsinki)";"Työttömät (PT)";439
"00220  Jätkäsaari (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1786
"00220  Jätkäsaari (Helsinki)";"Opiskelijat (PT)";927
"00220  Jätkäsaari (Helsinki)";"Eläkeläiset (PT)";880
"00220  Jätkäsaari (Helsinki)";"Muut (PT)";382
"00230  Helsinki postikeskus (Helsinki)";"Asukkaat yhteensä (PT)";0
"00230  Helsinki postikeskus (Helsinki)";"Työlliset (PT)";0
"00230  Helsinki postikeskus (Helsinki)";"Työttömät (PT)";0
"00230  Helsinki postikeskus (Helsinki)";"Lapset 0-14-vuotiaat (PT)";0
"00230  Helsinki postikeskus (Helsinki)";"Opiskelijat (PT)";0
"00230  Helsinki postikeskus (Helsinki)";"Eläkeläiset (PT)";0
"00230  Helsinki postikeskus (Helsinki)";"Muut (PT)";0
"00240  Länsi-Pasila (Helsinki)";"Asukkaat yhteensä (PT)";5638
"00240  Länsi-Pasila (Helsinki)";"Työlliset (PT)";2952
"00240  Länsi-Pasila (Helsinki)";"Työttömät (PT)";242
"00240  Länsi-Pasila (Helsinki)";"Lapset 0-14-vuotiaat (PT)";647
"00240  Länsi-Pasila (Helsinki)";"Opiskelijat (PT)";375
"00240  Länsi-Pasila (Helsinki)";"Eläkeläiset (PT)";1197
"00240  Länsi-Pasila (Helsinki)";"Muut (PT)";225
"00250  Taka-Töölö (Helsinki)";"Asukkaat yhteensä (PT)";11267
"00250  Taka-Töölö (Helsinki)";"Työlliset (PT)";6559
"00250  Taka-Töölö (Helsinki)";"Työttömät (PT)";424
"00250  Taka-Töölö (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1174
"00250  Taka-Töölö (Helsinki)";"Opiskelijat (PT)";893
"00250  Taka-Töölö (Helsinki)";"Eläkeläiset (PT)";1821
"00250  Taka-Töölö (Helsinki)";"Muut (PT)";396
"00260  Keski-Töölö (Helsinki)";"Asukkaat yhteensä (PT)";5666
"00260  Keski-Töölö (Helsinki)";"Työlliset (PT)";2798
"00260  Keski-Töölö (Helsinki)";"Työttömät (PT)";220
"00260  Keski-Töölö (Helsinki)";"Lapset 0-14-vuotiaat (PT)";532
"00260  Keski-Töölö (Helsinki)";"Opiskelijat (PT)";367
"00260  Keski-Töölö (Helsinki)";"Eläkeläiset (PT)";1461
"00260  Keski-Töölö (Helsinki)";"Muut (PT)";288
"00270  Pohjois-Meilahti (Helsinki)";"Asukkaat yhteensä (PT)";7314
"00270  Pohjois-Meilahti (Helsinki)";"Työlliset (PT)";3986
"00270  Pohjois-Meilahti (Helsinki)";"Työttömät (PT)";323
"00270  Pohjois-Meilahti (Helsinki)";"Lapset 0-14-vuotiaat (PT)";874
"00270  Pohjois-Meilahti (Helsinki)";"Opiskelijat (PT)";563
"00270  Pohjois-Meilahti (Helsinki)";"Eläkeläiset (PT)";1362
"00270  Pohjois-Meilahti (Helsinki)";"Muut (PT)";206
"00280  Ruskeasuo (Helsinki)";"Asukkaat yhteensä (PT)";2798
"00280  Ruskeasuo (Helsinki)";"Työlliset (PT)";1427
"00280  Ruskeasuo (Helsinki)";"Työttömät (PT)";127
"00280  Ruskeasuo (Helsinki)";"Lapset 0-14-vuotiaat (PT)";296
"00280  Ruskeasuo (Helsinki)";"Opiskelijat (PT)";317
"00280  Ruskeasuo (Helsinki)";"Eläkeläiset (PT)";540
"00280  Ruskeasuo (Helsinki)";"Muut (PT)";91
"00290  Meilahden sairaala-alue (Helsinki)";"Asukkaat yhteensä (PT)";132
"00290  Meilahden sairaala-alue (Helsinki)";"Työlliset (PT)";74
