# Age demographics of Finnish population per area code. Data for 2022.
# Data taken from https://www.stat.fi/tup/paavo/index.html
# 
# yht: "Asukkaat yhteensä (HE)"
# male: "Miehet (HE)"
# female: "Naiset (HE)"
# avg: "Asukkaiden keski-ikä (HE)"
# 18_19: "18-19-vuotiaat (HE)"
# 20_24: "20-24-vuotiaat (HE)"
# 25_29: "25-29-vuotiaat (HE)"
# 30_34: "30-34-vuotiaat (HE)"
# 35_39: "35-39-vuotiaat (HE)"
# 40_44: "40-44-vuotiaat (HE)"
# 45_49: "45-49-vuotiaat (HE)"
# 50_54: "50-54-vuotiaat (HE)"
# 55_59: "55-59-vuotiaat (HE)"
# 60_64: "60-64-vuotiaat (HE)"
# 65_69: "65-69-vuotiaat (HE)"
# 70_74: "70-74-vuotiaat (HE)"
# 75_79: "75-79-vuotiaat (HE)"
# 80_84: "80-84-vuotiaat (HE)"
# 85: "85 vuotta täyttäneet (HE)"
#
# CSV-Schema:
# area_code, area_name, yht, male, female, avg, 18_19, 20_24, 25_29, 30_34, 35_39, 40_44, 45_49, 50_54, 55_59, 60_64, 65_69, 70_74, 75_79, 80_84, 85

00370; Reimarla (Helsinki); 6335; 3054; 3281; 41; 135; 412; 564; 596; 467; 462; 369; 338; 341; 332; 295; 310; 264; 159; 166
00380; Pitäjänmäen yritysalue (Helsinki); 4876; 2445; 2431; 42; 84; 236; 405; 496; 399; 366; 305; 306; 384; 332; 247; 207; 177; 83; 71
00390; Konala (Helsinki); 6517; 3225; 3292; 42; 142; 316; 486; 567; 573; 499; 395; 389; 404; 381; 380; 325; 261; 137; 99
00400; Pohjois-Haaga (Helsinki); 9180; 4349; 4831; 42; 152; 550; 931; 1011; 842; 655; 567; 412; 525; 439; 423; 429; 401; 244; 309
00410; Malminkartano (Helsinki); 9656; 4762; 4894; 38; 188; 648; 842; 1038; 863; 698; 557; 490; 552; 516; 518; 382; 278; 128; 73
00420; Kannelmäki (Helsinki); 13726; 6656; 7070; 42; 222; 829; 1118; 1316; 1174; 1000; 756; 697; 803; 757; 714; 773; 650; 335; 327
00430; Maununneva - Kuninkaantammi (Helsinki); 7825; 3717; 4108; 39; 166; 350; 474; 680; 711; 573; 473; 464; 526; 422; 429; 385; 257; 90; 54
00440; Lassila (Helsinki); 4728; 2198; 2530; 44; 77; 291; 432; 486; 417; 323; 216; 170; 210; 216; 252; 306; 255; 162; 206
00500; Sörnäinen - Harju (Helsinki); 11486; 5759; 5727; 39; 203; 1478; 2109; 1921; 1246; 877; 607; 478; 507; 408; 372; 305; 246; 142; 133
00510; Alppila - Vallila (Helsinki); 9461; 4578; 4883; 40; 122; 801; 1402; 1469; 1064; 819; 567; 448; 454; 406; 351; 339; 235; 127; 114
00520; Itä- ja Keski-Pasila (Helsinki); 8394; 4145; 4249; 39; 118; 628; 1192; 1165; 907; 717; 471; 335; 355; 329; 299; 323; 263; 142; 104
00530; Kallio (Helsinki); 17777; 8425; 9352; 42; 278; 1744; 2696; 2464; 1703; 1343; 1029; 818; 862; 754; 767; 787; 695; 363; 348
00540; Kalasatama - Sompasaari (Helsinki); 5464; 2629; 2835; 36; 90; 387; 722; 633; 536; 458; 319; 244; 256; 213; 217; 187; 126; 47; 28
00550; Vallila - Hermanni (Helsinki); 9131; 4252; 4879; 39; 230; 896; 1254; 1275; 925; 676; 551; 403; 445; 412; 306; 309; 236; 122; 116
00560; Toukola - Kumpula - Vanhakaupunki (Helsinki); 13790; 6398; 7392; 38; 273; 1322; 1436; 1323; 1161; 1102; 938; 632; 651; 627; 570; 577; 421; 195; 138
00570; Kulosaari (Helsinki); 4073; 1855; 2218; 41; 81; 140; 278; 290; 302; 364; 320; 225; 253; 186; 172; 180; 169; 116; 107
00580; Kalasatama - Kyläsaari (Helsinki); 7020; 3413; 3607; 36; 139; 907; 1012; 833; 647; 471; 378; 295; 367; 310; 227; 189; 135; 69; 73
00590; Kruunuvuorenranta (Helsinki); 4266; 1976; 2290; 37; 88; 222; 390; 472; 408; 321; 252; 226; 295; 234; 224; 149; 71; 28; 15
00600; Koskela (Helsinki); 4660; 2198; 2462; 42; 105; 299; 379; 421; 373; 330; 245; 251; 235; 261; 242; 229; 211; 128; 163
00610; Käpylä (Helsinki); 7887; 3462; 4425; 42; 113; 304; 544; 773; 746; 680; 540; 425; 460; 442; 370; 368; 312; 185; 251
00620; Metsälä - Etelä-Oulunkylä (Helsinki); 5464; 2537; 2927; 41; 126; 324; 508; 561; 484; 402; 318; 248; 308; 283; 235; 218; 178; 127; 196
00630; Maunula (Helsinki); 8102; 3843; 4259; 44; 159; 322; 510; 661; 592; 559; 503; 474; 499; 506; 518; 480; 361; 244; 272
00640; Oulunkylä - Patola (Helsinki); 8345; 3926; 4419; 42; 159; 420; 608; 721; 674; 647; 516; 451; 519; 433; 383; 429; 370; 215; 229
