"12f1 -- 3. Asukkaiden käytettävissä olevat rahatulot, 2010-2022"

"00170  Kruununhaka (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";2548
"00170  Kruununhaka (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";2723
"00170  Kruununhaka (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";290922990
"00180  Kamppi - Ruoholahti (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";12418
"00180  Kamppi - Ruoholahti (Helsinki)";"Asukkaiden keskitulot (HR)";38795
"00180  Kamppi - Ruoholahti (Helsinki)";"Asukkaiden mediaanitulot (HR)";28458
"00180  Kamppi - Ruoholahti (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";2316
"00180  Kamppi - Ruoholahti (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";5942
"00180  Kamppi - Ruoholahti (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";4160
"00180  Kamppi - Ruoholahti (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";481760014
"00190  Suomenlinna (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";483
"00190  Suomenlinna (Helsinki)";"Asukkaiden keskitulot (HR)";31945
"00190  Suomenlinna (Helsinki)";"Asukkaiden mediaanitulot (HR)";30062
"00190  Suomenlinna (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";58
"00190  Suomenlinna (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";261
"00190  Suomenlinna (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";164
"00190  Suomenlinna (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";15429575
"00200  Pohjois-Lauttasaari (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";13173
"00200  Pohjois-Lauttasaari (Helsinki)";"Asukkaiden keskitulot (HR)";41258
"00200  Pohjois-Lauttasaari (Helsinki)";"Asukkaiden mediaanitulot (HR)";32303
"00200  Pohjois-Lauttasaari (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";1739
"00200  Pohjois-Lauttasaari (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";5914
"00200  Pohjois-Lauttasaari (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";5520
"00200  Pohjois-Lauttasaari (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";543495000
"00210  Vattuniemi (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";7248
"00210  Vattuniemi (Helsinki)";"Asukkaiden keskitulot (HR)";52063
"00210  Vattuniemi (Helsinki)";"Asukkaiden mediaanitulot (HR)";35210
"00210  Vattuniemi (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";841
"00210  Vattuniemi (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";2892
"00210  Vattuniemi (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";3515
"00210  Vattuniemi (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";377349723
"00220  Jätkäsaari (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";8404
"00220  Jätkäsaari (Helsinki)";"Asukkaiden keskitulot (HR)";33689
"00220  Jätkäsaari (Helsinki)";"Asukkaiden mediaanitulot (HR)";29126
"00220  Jätkäsaari (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";1383
"00220  Jätkäsaari (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";4190
"00220  Jätkäsaari (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";2831
"00220  Jätkäsaari (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";283123902
"00230  Helsinki postikeskus (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";0
"00230  Helsinki postikeskus (Helsinki)";"Asukkaiden keskitulot (HR)";0
"00230  Helsinki postikeskus (Helsinki)";"Asukkaiden mediaanitulot (HR)";0
"00230  Helsinki postikeskus (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";0
"00230  Helsinki postikeskus (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";0
"00230  Helsinki postikeskus (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";0
"00230  Helsinki postikeskus (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";0
"00240  Länsi-Pasila (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";4891
"00240  Länsi-Pasila (Helsinki)";"Asukkaiden keskitulot (HR)";29329
"00240  Länsi-Pasila (Helsinki)";"Asukkaiden mediaanitulot (HR)";27543
"00240  Länsi-Pasila (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";806
"00240  Länsi-Pasila (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";2795
"00240  Länsi-Pasila (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";1290
"00240  Länsi-Pasila (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";143448924
"00250  Taka-Töölö (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";9889
"00250  Taka-Töölö (Helsinki)";"Asukkaiden keskitulot (HR)";36027
"00250  Taka-Töölö (Helsinki)";"Asukkaiden mediaanitulot (HR)";29419
"00250  Taka-Töölö (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";1599
"00250  Taka-Töölö (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";4735
"00250  Taka-Töölö (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";3555
