"00180  Kamppi - Ruoholahti (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";3040
"00180  Kamppi - Ruoholahti (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";3334
"00190  Suomenlinna (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";483
"00190  Suomenlinna (Helsinki)";"Perusasteen suorittaneet (KO)";68
"00190  Suomenlinna (Helsinki)";"Koulutetut yhteensä (KO)";415
"00190  Suomenlinna (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";58
"00190  Suomenlinna (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";93
"00190  Suomenlinna (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";108
"00190  Suomenlinna (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";156
"00200  Pohjois-Lauttasaari (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";13173
"00200  Pohjois-Lauttasaari (Helsinki)";"Perusasteen suorittaneet (KO)";1376
"00200  Pohjois-Lauttasaari (Helsinki)";"Koulutetut yhteensä (KO)";11797
"00200  Pohjois-Lauttasaari (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1670
"00200  Pohjois-Lauttasaari (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1514
"00200  Pohjois-Lauttasaari (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";3504
"00200  Pohjois-Lauttasaari (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";5109
"00210  Vattuniemi (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";7248
"00210  Vattuniemi (Helsinki)";"Perusasteen suorittaneet (KO)";846
"00210  Vattuniemi (Helsinki)";"Koulutetut yhteensä (KO)";6402
"00210  Vattuniemi (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";692
"00210  Vattuniemi (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";844
"00210  Vattuniemi (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2004
"00210  Vattuniemi (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";2862
"00220  Jätkäsaari (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";8404
"00220  Jätkäsaari (Helsinki)";"Perusasteen suorittaneet (KO)";1398
"00220  Jätkäsaari (Helsinki)";"Koulutetut yhteensä (KO)";7006
"00220  Jätkäsaari (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1143
"00220  Jätkäsaari (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1352
"00220  Jätkäsaari (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2219
"00220  Jätkäsaari (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";2292
"00230  Helsinki postikeskus (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";0
"00230  Helsinki postikeskus (Helsinki)";"Perusasteen suorittaneet (KO)";0
"00230  Helsinki postikeskus (Helsinki)";"Koulutetut yhteensä (KO)";0
"00230  Helsinki postikeskus (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";0
"00230  Helsinki postikeskus (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";0
"00230  Helsinki postikeskus (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";0
"00230  Helsinki postikeskus (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";0
"00240  Länsi-Pasila (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";4891
"00240  Länsi-Pasila (Helsinki)";"Perusasteen suorittaneet (KO)";823
"00240  Länsi-Pasila (Helsinki)";"Koulutetut yhteensä (KO)";4068
"00240  Länsi-Pasila (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";558
"00240  Länsi-Pasila (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";981
"00240  Länsi-Pasila (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1322
"00240  Länsi-Pasila (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1207
"00250  Taka-Töölö (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";9889
"00250  Taka-Töölö (Helsinki)";"Perusasteen suorittaneet (KO)";1099
"00250  Taka-Töölö (Helsinki)";"Koulutetut yhteensä (KO)";8790
"00250  Taka-Töölö (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1690
"00250  Taka-Töölö (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1353
"00250  Taka-Töölö (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2499
"00250  Taka-Töölö (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";3248
"00260  Keski-Töölö (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";5049
"00260  Keski-Töölö (Helsinki)";"Perusasteen suorittaneet (KO)";695
"00260  Keski-Töölö (Helsinki)";"Koulutetut yhteensä (KO)";4354
"00260  Keski-Töölö (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";717
"00260  Keski-Töölö (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";527
"00260  Keski-Töölö (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1297
"00260  Keski-Töölö (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1813
"00270  Pohjois-Meilahti (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";6260
"00270  Pohjois-Meilahti (Helsinki)";"Perusasteen suorittaneet (KO)";817
"00270  Pohjois-Meilahti (Helsinki)";"Koulutetut yhteensä (KO)";5443
"00270  Pohjois-Meilahti (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";882
"00270  Pohjois-Meilahti (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";942
"00270  Pohjois-Meilahti (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1622
"00270  Pohjois-Meilahti (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1997
"00280  Ruskeasuo (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";2451
"00280  Ruskeasuo (Helsinki)";"Perusasteen suorittaneet (KO)";290
"00280  Ruskeasuo (Helsinki)";"Koulutetut yhteensä (KO)";2161
"00280  Ruskeasuo (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";459
"00280  Ruskeasuo (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";310
"00280  Ruskeasuo (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";608
"00280  Ruskeasuo (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";784
"00290  Meilahden sairaala-alue (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";117
"00290  Meilahden sairaala-alue (Helsinki)";"Perusasteen suorittaneet (KO)";13
"00290  Meilahden sairaala-alue (Helsinki)";"Koulutetut yhteensä (KO)";104
"00290  Meilahden sairaala-alue (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";6
"00290  Meilahden sairaala-alue (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";29
"00290  Meilahden sairaala-alue (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";31
"00290  Meilahden sairaala-alue (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";38
"00300  Pikku Huopalahti (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";4369
"00300  Pikku Huopalahti (Helsinki)";"Perusasteen suorittaneet (KO)";878
"00300  Pikku Huopalahti (Helsinki)";"Koulutetut yhteensä (KO)";3491
"00300  Pikku Huopalahti (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";455
"00300  Pikku Huopalahti (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";926
"00300  Pikku Huopalahti (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1051
"00300  Pikku Huopalahti (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";1059
"00310  Kivihaka (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";689
"00310  Kivihaka (Helsinki)";"Perusasteen suorittaneet (KO)";90
"00310  Kivihaka (Helsinki)";"Koulutetut yhteensä (KO)";599
"00310  Kivihaka (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";78
"00310  Kivihaka (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";113
"00310  Kivihaka (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";208
"00310  Kivihaka (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";200
"00320  Etelä-Haaga (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";9178
"00320  Etelä-Haaga (Helsinki)";"Perusasteen suorittaneet (KO)";1148
"00320  Etelä-Haaga (Helsinki)";"Koulutetut yhteensä (KO)";8030
"00320  Etelä-Haaga (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1187
"00320  Etelä-Haaga (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1395
"00320  Etelä-Haaga (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2561
"00320  Etelä-Haaga (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";2887
"00330  Munkkiniemi (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";7688
"00330  Munkkiniemi (Helsinki)";"Perusasteen suorittaneet (KO)";874
"00330  Munkkiniemi (Helsinki)";"Koulutetut yhteensä (KO)";6814
"00330  Munkkiniemi (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";860
"00330  Munkkiniemi (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";882
"00330  Munkkiniemi (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2009
"00330  Munkkiniemi (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";3063
"00340  Kuusisaari - Lehtisaari (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";1450
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Perusasteen suorittaneet (KO)";202
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Koulutetut yhteensä (KO)";1248
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";185
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";105
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";339
"00340  Kuusisaari - Lehtisaari (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";619
"00350  Munkkivuori - Niemenmäki (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";7860
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Perusasteen suorittaneet (KO)";1119
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Koulutetut yhteensä (KO)";6741
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";976
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1424
"00350  Munkkivuori - Niemenmäki (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";2168
