# Occupation of persons in Finland per postal code.
# Data taken from https://www.stat.fi/tup/paavo/index.html
# 
# yht: Asukkaat yhteensä (PT)
# tyol: Työlliset (PT)
# tyot: Työttömät (PT)
# laps: Lapset 0-14-vuotiaat (PT)
# opis: Opiskelijat (PT)
# elak: Eläkeläiset (PT)
# muut: Muut (PT)
# 
# CSV-Schema:
# area_code, area_name, yht, tyol, tyot, laps, opis, elak, muut
# 
00750; Tapulikaupunki (Helsinki); 9449; 4145; 620; 1712; 812; 1751; 409
00760; Puistola - Heikinlaakso (Helsinki); 7464; 3468; 272; 1483; 546; 1472; 223
00770; Jakomäki - Alppikylä (Helsinki); 7166; 3106; 581; 1243; 579; 1300; 357
00780; Tapaninvainio (Helsinki); 6789; 3096; 269; 1044; 404; 1819; 157
00790; Viikki (Helsinki); 10585; 4924; 462; 2106; 1383; 1235; 475
00800; Länsi-Herttoniemi (Helsinki); 7558; 3778; 508; 1009; 617; 1408; 238
00810; Herttoniemenranta (Helsinki); 11937; 6002; 766; 1795; 835; 2114; 425
00820; Roihuvuori (Helsinki); 7794; 3589; 588; 1184; 572; 1533; 328
00830; Tammisalo (Helsinki); 2257; 1012; 60; 447; 144; 520; 74
00840; Yliskylä (Helsinki); 8916; 4029; 370; 1430; 553; 2295; 239
00850; Jollas (Helsinki); 3112; 1455; 111; 657; 250; 511; 128
00860; Santahamina (Helsinki); 293; 206; 6; 54; 20; 3; 4
00870; Gunillanmäki - Hevossalmi (Helsinki); 6125; 2739; 413; 1105; 506; 1134; 228
00880; Keski-Herttoniemi - Roihupelto (Helsinki); 1383; 850; 55; 154; 75; 210; 39
00890; Östersundom (Helsinki); 1785; 945; 75; 265; 164; 255; 81
00900; Puotinharju (Helsinki); 4186; 1703; 372; 614; 282; 957; 258
00910; Puotila (Helsinki); 5894; 2710; 413; 754; 449; 1332; 236
00920; Myllypuro (Helsinki); 14035; 6042; 811; 2504; 1020; 3109; 549
00930; Itäkeskus - Marjaniemi (Helsinki); 6600; 2628; 484; 1043; 540; 1507; 398
00940; Kontula - Vesala - Kivikko (Helsinki); 26070; 9894; 2362; 4211; 2354; 5524; 1725
00950; Vartioharju (Helsinki); 6395; 3101; 252; 1080; 456; 1315; 191
00960; Pohjois-Vuosaari (Helsinki); 7199; 3250; 487; 1079; 474; 1632; 277
00970; Mellunmäki (Helsinki); 10859; 4580; 842; 1547; 871; 2523; 496
00980; Etelä-Vuosaari (Helsinki); 22890; 9054; 1912; 3883; 1887; 4897; 1257
00990; Aurinkolahti (Helsinki); 8701; 4067; 449; 1235; 540; 2063; 347
01120; Västerskog (Sipoo); 1455; 704; 50; 228; 108; 317; 48
01150; Söderkulla (Sipoo); 6750; 3447; 233; 1297; 496; 1121; 156
01180; Kalkkiranta (Sipoo); 493; 247; 15; 69; 36; 113; 13
01190; Box (Sipoo); 1011; 501; 31; 168; 55; 237; 19
01200; Hakunila (Vantaa); 12659; 5347; 1078; 2270; 991; 2263; 710
